"id"	"brand"	"title"	"price"	"score"	"voteCnt"	"url"	"pid"	"brand_id"
"44"	"OPPO"	"OPPO A1（3GB RAM/全网通） "	"1000"	"7.4"	"86"	"http://detail.zol.com.cn/cell_phone/index1209829.shtml"	"1209829"	"6"
"45"	"OPPO"	"OPPO Find X兰博基尼版（全网通） "	"9999"	"9.7"	"89"	"http://detail.zol.com.cn/cell_phone/index1220645.shtml"	"1220645"	"6"
"46"	"OPPO"	"OPPO R17 Pro（全网通） "	"4299"	"9.4"	"91"	"http://detail.zol.com.cn/cell_phone/index1225826.shtml"	"1225826"	"6"
"47"	"OPPO"	"OPPO A7x（全网通） "	"1999"	"8.7"	"48"	"http://detail.zol.com.cn/cell_phone/index1230724.shtml"	"1230724"	"6"
"48"	"OPPO"	"OPPO R11s（4GB RAM/全网通） "	"2299"	"9.2"	"1310"	"http://detail.zol.com.cn/cell_phone/index1184068.shtml"	"1184068"	"6"
"49"	"OPPO"	"OPPO A83 (全网通) "	"1199"	"5.8"	"38"	"http://detail.zol.com.cn/cell_phone/index1205003.shtml"	"1205003"	"6"
"50"	"OPPO"	"OPPO A57（全网通） "	"799"	"7.6"	"577"	"http://detail.zol.com.cn/cell_phone/index1160598.shtml"	"1160598"	"6"
"51"	"OPPO"	"OPPO A73（全网通） "	"1499"	"8.4"	"380"	"http://detail.zol.com.cn/cell_phone/index1205054.shtml"	"1205054"	"6"
"52"	"OPPO"	"OPPO R17（雾光渐变色/8GB RAM/全网通） "	"3599"	"9.5"	"171"	"http://detail.zol.com.cn/cell_phone/index1229193.shtml"	"1229193"	"6"
"53"	"OPPO"	"OPPO R11s Plus（全网通） "	"1899"	"9"	"669"	"http://detail.zol.com.cn/cell_phone/index1184231.shtml"	"1184231"	"6"
"54"	"OPPO"	"OPPO R15梦镜版（梦境红/全网通） "	"2999"	"9.2"	"1032"	"http://detail.zol.com.cn/cell_phone/index1208720.shtml"	"1208720"	"6"
"55"	"OPPO"	"OPPO R17（6GB RAM/全网通） "	"3199"	"9.5"	"171"	"http://detail.zol.com.cn/cell_phone/index1229159.shtml"	"1229159"	"6"
"56"	"OPPO"	"OPPO R11 Plus（全网通） "	"1788"	"9.2"	"546"	"http://detail.zol.com.cn/cell_phone/index1170222.shtml"	"1170222"	"6"
"57"	"OPPO"	"OPPO R15梦镜版（陶瓷黑/梦境紫/全网通） "	"3299"	"9.2"	"1032"	"http://detail.zol.com.cn/cell_phone/index1210656.shtml"	"1210656"	"6"
"58"	"OPPO"	"OPPO A79（全网通） "	"1699"	"8.7"	"339"	"http://detail.zol.com.cn/cell_phone/index1203640.shtml"	"1203640"	"6"
"59"	"小米"	"小米8（6GB RAM/全网通） "	"2599"	"5.1"	"308"	"http://detail.zol.com.cn/cell_phone/index1213787.shtml"	"1213787"	"3"
"60"	"小米"	"小米6X（4GB RAM/全网通） "	"1349"	"5.3"	"106"	"http://detail.zol.com.cn/cell_phone/index1170480.shtml"	"1170480"	"3"
"61"	"小米"	"小米8 SE（4GB RAM/全网通） "	"1699"	"5.3"	"76"	"http://detail.zol.com.cn/cell_phone/index1217453.shtml"	"1217453"	"3"
"62"	"小米"	"小米8青春版（4GB RAM/全网通） "	"1399"	"6"	"18"	"http://detail.zol.com.cn/cell_phone/index1231048.shtml"	"1231048"	"3"
"63"	"小米"	"小米红米Note 5（3GB RAM/全网通） "	"999"	"5.5"	"98"	"http://detail.zol.com.cn/cell_phone/index1175353.shtml"	"1175353"	"3"
"64"	"小米"	"小米MIX 2s（6GB RAM/全网通） "	"2999"	"5.6"	"134"	"http://detail.zol.com.cn/cell_phone/index1202983.shtml"	"1202983"	"3"
"65"	"小米"	"小米6（6GB RAM/全网通） "	"2409"	"6.2"	"526"	"http://detail.zol.com.cn/cell_phone/index1161066.shtml"	"1161066"	"3"
"66"	"小米"	"小米红米6 Pro（3GB RAM/全网通） "	"969"	"6.1"	"21"	"http://detail.zol.com.cn/cell_phone/index1220665.shtml"	"1220665"	"3"
"67"	"小米"	"小米8透明探索版（全网通） "	"3699"	"5.4"	"48"	"http://detail.zol.com.cn/cell_phone/index1216973.shtml"	"1216973"	"3"
"68"	"小米"	"小米Max 3（4GB RAM/全网通） "	"1699"	"5.1"	"66"	"http://detail.zol.com.cn/cell_phone/index1205304.shtml"	"1205304"	"3"
"69"	"小米"	"小米MIX 2（全网通） "	"2299"	"5.4"	"147"	"http://detail.zol.com.cn/cell_phone/index1160797.shtml"	"1160797"	"3"
